#srch1
CSM1DC-001	妙蛙种子 bulbasaur pokemon g basic csm1dc a  草  飞叶快刀 30\n\n\n 飞叶快刀 gc 30
CS4aC-009	叶伊布vmax leafeon vmax pokemon v g vmax cs4ac e  草  打草结 60×\n造成对手战斗宝可梦的 撤退 所需能量数量×60点伤害 \n\n 草  草  极巨绿叶 170\n回复这只宝可梦 30 点hp \n\n 打草结 gc 60× 造成对手战斗宝可梦的 撤退 所需能量数量×60点伤害  极巨绿叶 ggc 170 回复这只宝可梦 30 点hp 
CS4aC-165	叶伊布vmax leafeon vmax pokemon v g vmax cs4ac e  草  打草结 60×\n造成对手战斗宝可梦的 撤退 所需能量数量×60点伤害 \n\n 草  草  极巨绿叶 170\n回复这只宝可梦 30 点hp \n\n 打草结 gc 60× 造成对手战斗宝可梦的 撤退 所需能量数量×60点伤害  极巨绿叶 ggc 170 回复这只宝可梦 30 点hp 
CS4aC-166	叶伊布vmax leafeon vmax pokemon v g vmax cs4ac e  草  打草结 60×\n造成对手战斗宝可梦的 撤退 所需能量数量×60点伤害 \n\n 草  草  极巨绿叶 170\n回复这只宝可梦 30 点hp \n\n 打草结 gc 60× 造成对手战斗宝可梦的 撤退 所需能量数量×60点伤害  极巨绿叶 ggc 170 回复这只宝可梦 30 点hp 
CS5DC-011	叶伊布vstar leafeon vstar pokemon v g vstar cs5dc f 特性  星耀常春藤\n在自己的回合可以使用 选择对手的1只备战宝可梦 将其与战斗宝可梦互换  对战中 己方的vstar力量只能使用1次  \n\n 草  草  叶子防守 180\n在下一个对手的回合 这只宝可梦所受到的招式的伤害 -30  \n\n 叶子防守 ggc 180 在下一个对手的回合 这只宝可梦所受到的招式的伤害 -30   星耀常春藤 在自己的回合可以使用 选择对手的1只备战宝可梦 将其与战斗宝可梦互换  对战中 己方的vstar力量只能使用1次  
CS5DC-158	叶伊布vstar leafeon vstar pokemon v g vstar cs5dc f 特性  星耀常春藤\n在自己的回合可以使用 选择对手的1只备战宝可梦 将其与战斗宝可梦互换  对战中 己方的vstar力量只能使用1次  \n\n 草  草  叶子防守 180\n在下一个对手的回合 这只宝可梦所受到的招式的伤害 -30  \n\n 叶子防守 ggc 180 在下一个对手的回合 这只宝可梦所受到的招式的伤害 -30   星耀常春藤 在自己的回合可以使用 选择对手的1只备战宝可梦 将其与战斗宝可梦互换  对战中 己方的vstar力量只能使用1次  
CBB2C-0801	冰伊布 glaceon pokemon w stage 1 cbb2c e  水  冰雹 \n给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  冰霜台风 120\n在下一个自己的回合 这只宝可梦无法使用 冰霜台风  \n\n 冰雹 w 给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性   冰霜台风 wcc 120 在下一个自己的回合 这只宝可梦无法使用 冰霜台风  
CBB2C-0803	冰伊布 glaceon pokemon w stage 1 cbb2c e  水  冰雹 \n给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  冰霜台风 120\n在下一个自己的回合 这只宝可梦无法使用 冰霜台风  \n\n 冰雹 w 给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性   冰霜台风 wcc 120 在下一个自己的回合 这只宝可梦无法使用 冰霜台风  
CBB2C-0805	冰伊布 glaceon pokemon w stage 1 cbb2c e  水  冰雹 \n给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  冰霜台风 120\n在下一个自己的回合 这只宝可梦无法使用 冰霜台风  \n\n 冰雹 w 给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性   冰霜台风 wcc 120 在下一个自己的回合 这只宝可梦无法使用 冰霜台风  
CBB2C-0807	冰伊布 glaceon pokemon w stage 1 cbb2c e  水  冰雹 \n给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  冰霜台风 120\n在下一个自己的回合 这只宝可梦无法使用 冰霜台风  \n\n 冰雹 w 给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性   冰霜台风 wcc 120 在下一个自己的回合 这只宝可梦无法使用 冰霜台风  
CBB2C-0809	冰伊布 glaceon pokemon w stage 1 cbb2c e  水  冰雹 \n给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  冰霜台风 120\n在下一个自己的回合 这只宝可梦无法使用 冰霜台风  \n\n 冰雹 w 给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性   冰霜台风 wcc 120 在下一个自己的回合 这只宝可梦无法使用 冰霜台风  
CBB2C-0811	冰伊布 glaceon pokemon w stage 1 cbb2c e  水  冰雹 \n给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  冰霜台风 120\n在下一个自己的回合 这只宝可梦无法使用 冰霜台风  \n\n 冰雹 w 给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性   冰霜台风 wcc 120 在下一个自己的回合 这只宝可梦无法使用 冰霜台风  
SSP-115	冰伊布 glaceon pokemon w stage 1 ssp e  水  冰雹 \n给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  冰霜台风 120\n在下一个自己的回合 这只宝可梦无法使用 冰霜台风  \n\n 冰雹 w 给对手的所有宝可梦 各造成20点伤害  备战宝可梦不计算弱点 抗性   冰霜台风 wcc 120 在下一个自己的回合 这只宝可梦无法使用 冰霜台风  
CBB2C-0802	冰伊布 glaceon pokemon w stage 1 cbb2c f  水  冰霜之墙 30\n在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害 \n\n 水  水  冰之爆破 120\n\n\n 冰霜之墙 w 30 在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害  冰之爆破 wwc 120
CBB2C-0804	冰伊布 glaceon pokemon w stage 1 cbb2c f  水  冰霜之墙 30\n在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害 \n\n 水  水  冰之爆破 120\n\n\n 冰霜之墙 w 30 在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害  冰之爆破 wwc 120
CBB2C-0806	冰伊布 glaceon pokemon w stage 1 cbb2c f  水  冰霜之墙 30\n在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害 \n\n 水  水  冰之爆破 120\n\n\n 冰霜之墙 w 30 在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害  冰之爆破 wwc 120
CBB2C-0808	冰伊布 glaceon pokemon w stage 1 cbb2c f  水  冰霜之墙 30\n在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害 \n\n 水  水  冰之爆破 120\n\n\n 冰霜之墙 w 30 在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害  冰之爆破 wwc 120
CBB2C-0810	冰伊布 glaceon pokemon w stage 1 cbb2c f  水  冰霜之墙 30\n在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害 \n\n 水  水  冰之爆破 120\n\n\n 冰霜之墙 w 30 在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害  冰之爆破 wwc 120
CBB2C-0812	冰伊布 glaceon pokemon w stage 1 cbb2c f  水  冰霜之墙 30\n在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害 \n\n 水  水  冰之爆破 120\n\n\n 冰霜之墙 w 30 在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害  冰之爆破 wwc 120
CS6.5C-019	冰伊布 glaceon pokemon w stage 1 cs6 5c f  水  冰霜之墙 30\n在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害 \n\n 水  水  冰之爆破 120\n\n\n 冰霜之墙 w 30 在下一个对手的回合 这只宝可梦不会受到进化宝可梦的招式的伤害  冰之爆破 wwc 120
CSV7C-061	冰伊布 glaceon pokemon w stage 1 csv7c h  水  渗透冷气 30\n在下一个对手的回合结束时 将9个伤害指示物放置于受到这个招式影响的宝可梦身上 \n\n 水  冰柱导弹 70\n\n\n 渗透冷气 w 30 在下一个对手的回合结束时 将9个伤害指示物放置于受到这个招式影响的宝可梦身上  冰柱导弹 wc 70
CSV9.5C-046	冰伊布 glaceon pokemon w stage 1 csv9 5c h  水  渗透冷气 30\n在下一个对手的回合结束时 将9个伤害指示物放置于受到这个招式影响的宝可梦身上 \n\n 水  冰柱导弹 70\n\n\n 渗透冷气 w 30 在下一个对手的回合结束时 将9个伤害指示物放置于受到这个招式影响的宝可梦身上  冰柱导弹 wc 70
CSV9.5C-047	冰伊布ex glaceon ex pokemon ex w stage 1 csv9 5c h  水  冰霜子弹 110\n给对手的1只备战宝可梦 也造成30伤害  备战宝可梦不计算弱点 抗性  \n\n 草  水  恶  蓝柱石 \n选择对手的1只身上放置有6个伤害指示物的宝可梦 令那只宝可梦 昏厥  \n\n 冰霜子弹 wc 110 给对手的1只备战宝可梦 也造成30伤害  备战宝可梦不计算弱点 抗性   蓝柱石 gwd 选择对手的1只身上放置有6个伤害指示物的宝可梦 令那只宝可梦 昏厥  
CSV9.5C-227	冰伊布ex glaceon ex pokemon ex w stage 1 csv9 5c h  水  冰霜子弹 110\n给对手的1只备战宝可梦 也造成30伤害  备战宝可梦不计算弱点 抗性  \n\n 草  水  恶  蓝柱石 \n选择对手的1只身上放置有6个伤害指示物的宝可梦 令那只宝可梦 昏厥  \n\n 冰霜子弹 wc 110 给对手的1只备战宝可梦 也造成30伤害  备战宝可梦不计算弱点 抗性   蓝柱石 gwd 选择对手的1只身上放置有6个伤害指示物的宝可梦 令那只宝可梦 昏厥  
CSM1cC-026	冰伊布gx glaceon v pokemon gx w stage 1 csm1cc b 特性  冻结之瞳\n只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 \n\n 水  冰霜子弹 90\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  极地长矛gx 50×\n造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次  \n\n 冰霜子弹 wcc 90 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   极地长矛gx wcc 50× 造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次   冻结之瞳 只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 
CSM1cC-171	冰伊布gx glaceon v pokemon gx w stage 1 csm1cc b 特性  冻结之瞳\n只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 \n\n 水  冰霜子弹 90\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  极地长矛gx 50×\n造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次  \n\n 冰霜子弹 wcc 90 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   极地长矛gx wcc 50× 造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次   冻结之瞳 只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 
CSM1cC-193	冰伊布gx glaceon v pokemon gx w stage 1 csm1cc b 特性  冻结之瞳\n只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 \n\n 水  冰霜子弹 90\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  极地长矛gx 50×\n造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次  \n\n 冰霜子弹 wcc 90 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   极地长矛gx wcc 50× 造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次   冻结之瞳 只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 
CSMPiC-004	冰伊布gx glaceon v pokemon gx w stage 1 csmpic b 特性  冻结之瞳\n只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 \n\n 水  冰霜子弹 90\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  极地长矛gx 50×\n造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次  \n\n 冰霜子弹 wcc 90 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   极地长矛gx wcc 50× 造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次   冻结之瞳 只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 
CSMYC-002	冰伊布gx glaceon v pokemon gx w stage 1 csmyc b 特性  冻结之瞳\n只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 \n\n 水  冰霜子弹 90\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  极地长矛gx 50×\n造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次  \n\n 冰霜子弹 wcc 90 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   极地长矛gx wcc 50× 造成放置于对手战斗宝可梦身上的伤害指示物数量×50点伤害  对战中 己方的gx招式只能使用1次   冻结之瞳 只要这只宝可梦在战斗场上 就将对手场上 手牌中 弃牌区中的所有 宝可梦gx・ex 的特性 除 冻结之瞳 外  全部消除 
CS4DaC-103	冰伊布v glaceon v pokemon v w basic cs4dac e  水  结冰觉醒 \n从自己的牌库中选择1张从这只宝可梦进化而来的卡牌 放于这只宝可梦身上进行进化 并重洗牌库 \n\n 水  白茫茫 120\n将场上的竞技场放于弃牌区 \n\n 结冰觉醒 w 从自己的牌库中选择1张从这只宝可梦进化而来的卡牌 放于这只宝可梦身上进行进化 并重洗牌库  白茫茫 wcc 120 将场上的竞技场放于弃牌区 
CS4aC-034	冰伊布v glaceon v pokemon v w basic cs4ac e  水  结冰觉醒 \n从自己的牌库中选择1张从这只宝可梦进化而来的卡牌 放于这只宝可梦身上进行进化 并重洗牌库 \n\n 水  白茫茫 120\n将场上的竞技场放于弃牌区 \n\n 结冰觉醒 w 从自己的牌库中选择1张从这只宝可梦进化而来的卡牌 放于这只宝可梦身上进行进化 并重洗牌库  白茫茫 wcc 120 将场上的竞技场放于弃牌区 
CS4aC-140	冰伊布v glaceon v pokemon v w basic cs4ac e  水  结冰觉醒 \n从自己的牌库中选择1张从这只宝可梦进化而来的卡牌 放于这只宝可梦身上进行进化 并重洗牌库 \n\n 水  白茫茫 120\n将场上的竞技场放于弃牌区 \n\n 结冰觉醒 w 从自己的牌库中选择1张从这只宝可梦进化而来的卡牌 放于这只宝可梦身上进行进化 并重洗牌库  白茫茫 wcc 120 将场上的竞技场放于弃牌区 
CS4aC-141	冰伊布v glaceon v pokemon v w basic cs4ac e  水  结冰觉醒 \n从自己的牌库中选择1张从这只宝可梦进化而来的卡牌 放于这只宝可梦身上进行进化 并重洗牌库 \n\n 水  白茫茫 120\n将场上的竞技场放于弃牌区 \n\n 结冰觉醒 w 从自己的牌库中选择1张从这只宝可梦进化而来的卡牌 放于这只宝可梦身上进行进化 并重洗牌库  白茫茫 wcc 120 将场上的竞技场放于弃牌区 
CBB2C-0813	冰伊布v glaceon v pokemon v w basic cbb2c f  水  冰霜充能 30\n选择自己牌库中的1张 水 能量 附着于这只宝可梦身上 并重洗牌库 \n\n 水  水  冻结之风 130\n\n\n 冰霜充能 w 30 选择自己牌库中的1张 水 能量 附着于这只宝可梦身上 并重洗牌库  冻结之风 wwc 130
CS5DC-037	冰伊布v glaceon v pokemon v w basic cs5dc f  水  冰霜充能 30\n选择自己牌库中的1张 水 能量 附着于这只宝可梦身上 并重洗牌库 \n\n 水  水  冻结之风 130\n\n\n 冰霜充能 w 30 选择自己牌库中的1张 水 能量 附着于这只宝可梦身上 并重洗牌库  冻结之风 wwc 130
CBB2C-0814	冰伊布vmax glaceon vmax pokemon w vmax cbb2c e 特性  水晶之幕\n这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 \n\n 水  极巨冰柱 150\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 极巨冰柱 wcc 150 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   水晶之幕 这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 
CS4DaC-104	冰伊布vmax glaceon vmax pokemon v w vmax cs4dac e 特性  水晶之幕\n这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 \n\n 水  极巨冰柱 150\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 极巨冰柱 wcc 150 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   水晶之幕 这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 
CS4aC-035	冰伊布vmax glaceon vmax pokemon v w vmax cs4ac e 特性  水晶之幕\n这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 \n\n 水  极巨冰柱 150\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 极巨冰柱 wcc 150 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   水晶之幕 这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 
CS4aC-167	冰伊布vmax glaceon vmax pokemon v w vmax cs4ac e 特性  水晶之幕\n这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 \n\n 水  极巨冰柱 150\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 极巨冰柱 wcc 150 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   水晶之幕 这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 
CS4aC-168	冰伊布vmax glaceon vmax pokemon v w vmax cs4ac e 特性  水晶之幕\n这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 \n\n 水  极巨冰柱 150\n给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性  \n\n 极巨冰柱 wcc 150 给对手的1只备战宝可梦 也造成30点伤害  备战宝可梦不计算弱点 抗性   水晶之幕 这只宝可梦 不会受到对手 宝可梦 vmax   除 冰伊布 vmax  外 的招式的伤害 
CS5DC-038	冰伊布vstar glaceon vstar pokemon v w vstar cs5dc f  水  水  冰柱射击 180\n在下一个对手的回合 受到这个招式影响的宝可梦 无法撤退 \n\n 水  水  星耀水晶 220\n在下一个对手的回合 这只宝可梦不会受到招式的伤害和效果影响  对战中 己方的vstar力量只能使用1次  \n\n 冰柱射击 wwc 180 在下一个对手的回合 受到这个招式影响的宝可梦 无法撤退  星耀水晶 wwc 220 在下一个对手的回合 这只宝可梦不会受到招式的伤害和效果影响  对战中 己方的vstar力量只能使用1次  
CS5DC-159	冰伊布vstar glaceon vstar pokemon v w vstar cs5dc f  水  水  冰柱射击 180\n在下一个对手的回合 受到这个招式影响的宝可梦 无法撤退 \n\n 水  水  星耀水晶 220\n在下一个对手的回合 这只宝可梦不会受到招式的伤害和效果影响  对战中 己方的vstar力量只能使用1次  \n\n 冰柱射击 wwc 180 在下一个对手的回合 受到这个招式影响的宝可梦 无法撤退  星耀水晶 wwc 220 在下一个对手的回合 这只宝可梦不会受到招式的伤害和效果影响  对战中 己方的vstar力量只能使用1次  
CSM1DC-128	天蝎王 gliscor pokemon f stage 1 csm1dc a  斗  终结刺针 70\n如果对手的战斗宝可梦身上没有放置伤害指示物的话 则这个招式失败 \n\n 斗  极落钳 90\n\n\n 终结刺针 f 70 如果对手的战斗宝可梦身上没有放置伤害指示物的话 则这个招式失败  极落钳 fcc 90
CSM2bC-096	天蝎王 gliscor pokemon f stage 1 csm2bc c  招来 \n从自己的牌库上方抽取3张卡牌 \n\n 毒击 70\n使对手的战斗宝可梦陷入 中毒 状态 \n\n 招来 c 从自己的牌库上方抽取3张卡牌  毒击 ccc 70 使对手的战斗宝可梦陷入 中毒 状态 
CS3DC-077	天蝎王 gliscor pokemon f stage 1 cs3dc e  杂技 20+\n抛掷2次硬币 追加造成正面次数×40点伤害 \n\n 斗  极落钳 90\n\n\n 杂技 cc 20+ 抛掷2次硬币 追加造成正面次数×40点伤害  极落钳 fcc 90
CS4aC-079	天蝎王 gliscor pokemon f stage 1 cs4ac e  斗  劈落 30\n选择附着于对手战斗宝可梦身上的1个能量 放于弃牌区 \n\n 斗  斗  毒液一击 100\n使对手的战斗宝可梦陷入 中毒 状态 \n\n 劈落 fc 30 选择附着于对手战斗宝可梦身上的1个能量 放于弃牌区  毒液一击 ffc 100 使对手的战斗宝可梦陷入 中毒 状态 
CS5bC-066	天蝎王 gliscor pokemon f stage 1 cs5bc f  斗  斗  飓风冲击 50×\n抛掷4次硬币 造成正面次数×50点伤害 如果出现2次以上 包含2次 正面的话 则使对手的战斗宝可梦陷入 麻痹 状态 \n\n 飓风冲击 ff 50× 抛掷4次硬币 造成正面次数×50点伤害 如果出现2次以上 包含2次 正面的话 则使对手的战斗宝可梦陷入 麻痹 状态 
CSV5C-060	天蝎王 gliscor pokemon f stage 1 csv5c g  突刺 40\n\n\n 剧毒针 80\n抛掷1次硬币如果为正面 则令对手的战斗宝可梦陷入 中毒 状态 因这个 中毒 而放置的伤害指示物数量变为2个 \n\n 突刺 c 40 剧毒针 ccc 80 抛掷1次硬币如果为正面 则令对手的战斗宝可梦陷入 中毒 状态 因这个 中毒 而放置的伤害指示物数量变为2个 
CS5bC-044	象牙猪 mamoswine pokemon w stage 2 cs5bc f  水  暴风雪 80\n给对手的所有备战宝可梦 也各造成10点伤害  备战宝可梦不计算弱点 抗性  \n\n 水  水  冰山压制 170\n选择附着于这只宝可梦身上的1个能量 放于弃牌区 在下一个对手的回合 受到这个招式影响的宝可梦 无法使用招式 \n\n 暴风雪 wcc 80 给对手的所有备战宝可梦 也各造成10点伤害  备战宝可梦不计算弱点 抗性   冰山压制 wwcc 170 选择附着于这只宝可梦身上的1个能量 放于弃牌区 在下一个对手的回合 受到这个招式影响的宝可梦 无法使用招式 
CSV10C-104	象牙猪ex pokemon ex f stage 2 csv10c i 特性  猛犸搬运\n在自己的回合可以使用1次 选择自己牌库中的1张宝可梦 在给对手看过之后加入手牌 并重洗牌库 \n\n 斗  斗  轰隆行进 180+\n追加造成自己备战区中的 2阶进化 宝可梦数量×40伤害 \n\n 轰隆行进 ff 180+ 追加造成自己备战区中的 2阶进化 宝可梦数量×40伤害  猛犸搬运 在自己的回合可以使用1次 选择自己牌库中的1张宝可梦 在给对手看过之后加入手牌 并重洗牌库 
CSV10C-242	象牙猪ex pokemon ex f stage 2 csv10c i 特性  猛犸搬运\n在自己的回合可以使用1次 选择自己牌库中的1张宝可梦 在给对手看过之后加入手牌 并重洗牌库 \n\n 斗  斗  轰隆行进 180+\n追加造成自己备战区中的 2阶进化 宝可梦数量×40伤害 \n\n 轰隆行进 ff 180+ 追加造成自己备战区中的 2阶进化 宝可梦数量×40伤害  猛犸搬运 在自己的回合可以使用1次 选择自己牌库中的1张宝可梦 在给对手看过之后加入手牌 并重洗牌库 
CSM1aC-112	多边兽乙型 porygon-z pokemon c stage 2 csm1ac a 特性  初始化\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 从对手所有已经进化的宝可梦身上 各移除1张 进化卡 使其退化 将被移除的卡牌 放回对手的手牌 \n\n 电磁炮 80\n在下一个自己的回合 这只宝可梦无法使用 电磁炮  \n\n 电磁炮 ccc 80 在下一个自己的回合 这只宝可梦无法使用 电磁炮   初始化 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 从对手所有已经进化的宝可梦身上 各移除1张 进化卡 使其退化 将被移除的卡牌 放回对手的手牌 
CSM2.5C-043	多边兽乙型 porygon-z pokemon c stage 2 csm2 5c c 特性  狂热编码\n在自己的回合可以使用任意次 将自己手牌中的1张特殊能量 附着于自己的宝可梦身上 \n\n 暴走 120\n使这只宝可梦陷入 混乱 状态 \n\n 暴走 ccc 120 使这只宝可梦陷入 混乱 状态  狂热编码 在自己的回合可以使用任意次 将自己手牌中的1张特殊能量 附着于自己的宝可梦身上 
CS3bC-097	多边兽乙型 porygon-z pokemon c stage 2 cs3bc e 特性  漏洞发送\n在自己的回合 每当从自己的手牌将能量附着于这只宝可梦身上时 可使用1次 使对手的战斗宝可梦陷入 混乱 状态 \n\n 超级光束 170\n选择附着于这只宝可梦身上的2个能量 放于弃牌区 \n\n 超级光束 ccc 170 选择附着于这只宝可梦身上的2个能量 放于弃牌区  漏洞发送 在自己的回合 每当从自己的手牌将能量附着于这只宝可梦身上时 可使用1次 使对手的战斗宝可梦陷入 混乱 状态 
CS4DaC-340	多边兽乙型 porygon-z pokemon c stage 2 cs4dac e 特性  漏洞发送\n在自己的回合 每当从自己的手牌将能量附着于这只宝可梦身上时 可使用1次 使对手的战斗宝可梦陷入 混乱 状态 \n\n 超级光束 170\n选择附着于这只宝可梦身上的2个能量 放于弃牌区 \n\n 超级光束 ccc 170 选择附着于这只宝可梦身上的2个能量 放于弃牌区  漏洞发送 在自己的回合 每当从自己的手牌将能量附着于这只宝可梦身上时 可使用1次 使对手的战斗宝可梦陷入 混乱 状态 
CS6.5C-059	多边兽乙型 porygon-z pokemon c stage 2 cs6 5c f  劣化光束 \n选择对手的1只已经进化的宝可梦 将任意数量的 进化卡 移除使其退化 将被移除的卡牌 放回对手的牌库并重洗牌库 \n\n 力量光束 130\n\n\n 劣化光束 cc 选择对手的1只已经进化的宝可梦 将任意数量的 进化卡 移除使其退化 将被移除的卡牌 放回对手的牌库并重洗牌库  力量光束 ccc 130
CSV6C-103	多边兽乙型 porygon-z pokemon c stage 2 csv6c g 特性  漏洞涡轮\n在自己的回合可以使用1次 抛掷1次硬币如果为正面 则选择自己弃牌区中最多4张基本能量 附着于这只宝可梦身上 如果为反面 则选择这只宝可梦身上附着的1个能量 放于弃牌区 \n\n 能量攻击 40×\n造成这只宝可梦身上附着的能量数量×40伤害 \n\n 能量攻击 c 40× 造成这只宝可梦身上附着的能量数量×40伤害  漏洞涡轮 在自己的回合可以使用1次 抛掷1次硬币如果为正面 则选择自己弃牌区中最多4张基本能量 附着于这只宝可梦身上 如果为反面 则选择这只宝可梦身上附着的1个能量 放于弃牌区 
